gene	merged_name	type	start	end	strand	UTR length on 5' end	UTR length on 3' end	UTR length before start	UTR length after end
BSGatlas-gene-1037	sspE	CDS	937900	938154	+	68	59	68	59
BSGatlas-gene-1039	ygaC	CDS	938731	939261	+	76	87	76	87
BSGatlas-gene-1040	ygaD	CDS	939349	941091	+	87	0	87	0
BSGatlas-gene-1041	ygaE	CDS	941168	942229	-	99	0	0	99
BSGatlas-gene-1042	gsaB	CDS	942449	943738	-	761	20	20	761
BSGatlas-gene-1043	bcp	CDS	943891	944364	+	40	122	40	122
BSGatlas-gene-1044	perR	CDS	944487	944924	+	122	48	122	48
BSGatlas-gene-1045	ygzB	CDS	944959	945312	-	23	0	0	23
BSGatlas-gene-1046	ygxA	CDS	945520	946404	+	197	291	197	291
BSGatlas-gene-106	yazB	CDS	87401	87610	+	0	23	0	23
BSGatlas-gene-1067	spo0M	CDS	953373	954149	-	50	93	93	50
BSGatlas-gene-1068	ygzA	CDS	954291	954494	+	35	0	35	0
BSGatlas-gene-1069	ygzC	CDS	954579	954851	-	779	49	49	779
BSGatlas-gene-107	dusB	CDS	87634	88635	+	23	91	23	91
BSGatlas-gene-1070	ygaJ	CDS	954893	955585	+	34	0	34	0
BSGatlas-gene-1072	thiC	CDS	955895	957667	+	234	1630	234	1630
BSGatlas-gene-1073	ygaK	CDS	957705	959060	-	46	0	0	46
BSGatlas-gene-1074	senS	CDS	959311	959508	+	85	26	85	26
BSGatlas-gene-1075	katA	CDS	959535	960986	-	122	50	50	122
BSGatlas-gene-1077	ssuB	CDS	961394	962161	+	124	17	124	17
BSGatlas-gene-1078	ssuA	CDS	962179	963177	+	17	0	17	0
BSGatlas-gene-1079	ssuC	CDS	963174	964004	+	0	22	0	22
BSGatlas-gene-1080	ssuD	CDS	964027	965157	+	22	103	22	103
BSGatlas-gene-1081	ygaN	CDS	965261	965797	+	103	39	103	39
BSGatlas-gene-1082	rpsNB	CDS	965909	966178	+	35	0	35	0
BSGatlas-gene-1084	ygzD	CDS	966671	966871	-	44	0	0	44
BSGatlas-gene-1086	yhzB	CDS	967229	967852	-	46	0	0	46
BSGatlas-gene-1088	yhbB	CDS	969162	970097	+	37	37	37	37
BSGatlas-gene-1089	trmL	CDS	970135	970617	+	37	0	37	0
BSGatlas-gene-109	lysS	CDS	88727	90226	+	91	57	91	57
BSGatlas-gene-1092	yhbF	CDS	972099	972806	+	0	941	0	941
BSGatlas-gene-1094	prkA	CDS	973156	975051	+	49	47	49	47
BSGatlas-gene-1095	yhbH	CDS	975231	976409	+	88	36	88	36
BSGatlas-gene-1096	yhbI	CDS	976569	977033	+	52	35	52	35
BSGatlas-gene-1097	yhbJ	CDS	977069	977734	+	178	40	178	40
BSGatlas-gene-1098	yhcA	CDS	977775	979373	+	40	22	40	22
BSGatlas-gene-1099	yhcB	CDS	979396	979926	+	22	0	22	0
BSGatlas-gene-1102	yhcE	CDS	980473	981234	+	40	0	40	0
BSGatlas-gene-1104	yhcG	CDS	981604	982302	+	0	16	0	16
BSGatlas-gene-1105	yhcH	CDS	982319	983236	+	16	0	16	0
BSGatlas-gene-1106	yhcI	CDS	983229	984170	+	0	48	0	48
BSGatlas-gene-1108	cspB	CDS	984262	984465	-	120	99	99	120
BSGatlas-gene-1109	yhcJ	CDS	984901	985731	+	332	0	332	0
BSGatlas-gene-1110	dgcK	CDS	985734	986813	-	32	0	0	32
BSGatlas-gene-1111	tcyP	CDS	986986	988377	+	28	50	28	50
BSGatlas-gene-1112	yhcM	CDS	988417	988872	-	44	438	438	44
BSGatlas-gene-1113	yhcN	CDS	989022	989591	+	25	44	25	44
BSGatlas-gene-1114	yhcO	CDS	989712	990680	+	40	73	40	73
BSGatlas-gene-1115	yhcQ	CDS	990612	991265	-	28	0	0	28
BSGatlas-gene-1118	yhcT	CDS	995624	996532	-	1010	0	0	1010
BSGatlas-gene-1119	yhcU	CDS	996643	997038	+	37	0	37	0
BSGatlas-gene-1120	yhcV	CDS	997175	997597	+	17	44	17	44
BSGatlas-gene-1121	glpW	CDS	997724	998386	+	49	0	49	0
BSGatlas-gene-1124	yhxA	CDS	1000364	1001716	+	83	27	83	27
BSGatlas-gene-1125	glpP	CDS	1001744	1002322	+	27	161	27	161
BSGatlas-gene-1127	glpF	CDS	1002501	1003325	+	148	18	148	18
BSGatlas-gene-1128	glpK	CDS	1003344	1004834	+	18	120	18	120
BSGatlas-gene-1130	glpD	CDS	1004975	1006642	+	800	41	800	41
BSGatlas-gene-1131	pgcA	CDS	1006774	1008519	+	342	0	342	0
BSGatlas-gene-1132	yhcY	CDS	1008668	1009807	+	27	0	27	0
BSGatlas-gene-1134	azr	CDS	1010445	1010969	+	0	25	0	25
BSGatlas-gene-1135	yhdB	CDS	1010984	1011226	-	48	0	0	48
BSGatlas-gene-1136	yhdC	CDS	1011427	1011750	+	37	1901	37	1901
BSGatlas-gene-1137	lytF	CDS	1011792	1013258	-	45	36	36	45
BSGatlas-gene-1138	nsrR	CDS	1013411	1013851	-	39	30	30	39
BSGatlas-gene-1141	spoVR	CDS	1015647	1017053	+	24	42	24	42
BSGatlas-gene-1142	phoA	CDS	1017083	1018468	-	1561	41	41	1561
BSGatlas-gene-1144	lytE	CDS	1018998	1020002	+	60	47	60	47
BSGatlas-gene-1145	citR	CDS	1020073	1020948	-	54	73	73	54
BSGatlas-gene-1146	citA	CDS	1021057	1022157	+	26	73	26	73
BSGatlas-gene-1147	yhdF	CDS	1022231	1023100	+	73	43	73	43
BSGatlas-gene-1148	bcaP	CDS	1023350	1024747	+	151	52	151	52
BSGatlas-gene-1149	yhdH	CDS	1024865	1026220	+	31	0	31	0
BSGatlas-gene-1150	yhdI	CDS	1026255	1027664	-	84	0	0	84
BSGatlas-gene-1151	yhdJ	CDS	1027774	1028202	+	42	42	42	42
BSGatlas-gene-1152	asiMB	CDS	1028233	1028523	-	0	38	38	0
BSGatlas-gene-1154	sigM	CDS	1029577	1030068	-	95	0	0	95
BSGatlas-gene-1155	akrN	CDS	1030265	1031260	+	40	134	40	134
BSGatlas-gene-1156	plsC	CDS	1031395	1031994	+	134	76	134	76
BSGatlas-gene-1157	yhdP	CDS	1032063	1033397	-	60	1827	1827	60
BSGatlas-gene-1158	cueR	CDS	1033458	1033889	-	89	60	60	89
BSGatlas-gene-1159	yhdR	CDS	1034046	1035227	+	37	0	37	0
BSGatlas-gene-1161	yhdT	CDS	1035554	1036939	+	158	0	158	0
BSGatlas-gene-1164	yhdW	CDS	1037688	1038419	-	47	0	0	47
BSGatlas-gene-1165	yhdX	CDS	1038653	1038760	+	125	48	125	48
BSGatlas-gene-1166	mscY	CDS	1038909	1040024	+	39	0	39	0
BSGatlas-gene-1167	srtN	CDS	1040094	1040837	+	34	0	34	0
BSGatlas-gene-1168	yheN	CDS	1040861	1041709	-	104	0	0	104
BSGatlas-gene-1169	dat	CDS	1041994	1042842	+	267	0	267	0
BSGatlas-gene-1170	nhaC	CDS	1042885	1044246	-	72	0	0	72
BSGatlas-gene-1171	nhaX	CDS	1044373	1044873	-	43	33	33	43
BSGatlas-gene-1173	bmrB	CDS	1045037	1045198	+	70	119	70	119
BSGatlas-gene-1174	bmrC	CDS	1045318	1047075	+	119	0	119	0
BSGatlas-gene-1175	bmrD	CDS	1047072	1049093	+	0	935	0	935
BSGatlas-gene-1176	yheG	CDS	1049142	1049762	-	38	0	0	38
BSGatlas-gene-1177	yheF	CDS	1049801	1049926	-	24	38	38	24
BSGatlas-gene-1178	sspB	CDS	1050031	1050234	-	117	59	59	117
BSGatlas-gene-1179	yheE	CDS	1050443	1050661	-	59	0	0	59
BSGatlas-gene-1180	spaD	CDS	1050811	1052172	-	418	43	43	418
BSGatlas-gene-1181	spaC	CDS	1052162	1053253	-	111	0	0	111
BSGatlas-gene-1182	yheB	CDS	1053520	1054653	+	63	92	63	92
BSGatlas-gene-1183	yheA	CDS	1054746	1055099	+	92	0	92	0
BSGatlas-gene-1184	yhaZ	CDS	1055143	1056216	-	35	50	50	35
BSGatlas-gene-1186	yhaX	CDS	1056702	1057568	+	32	49	32	49
BSGatlas-gene-1187	hemZ	CDS	1057680	1059185	+	32	28	32	28
BSGatlas-gene-1188	khtU	CDS	1059203	1060420	-	0	17	17	0
BSGatlas-gene-1189	khtT	CDS	1060427	1060924	-	63	0	0	63
BSGatlas-gene-1190	khtS	CDS	1060988	1061326	-	37	63	63	37
BSGatlas-gene-1191	yhaR	CDS	1061491	1062258	+	62	24	62	24
BSGatlas-gene-1192	yhzD	CDS	1062279	1062464	-	48	0	0	48
BSGatlas-gene-1193	yhaQ	CDS	1062591	1063487	+	26	0	26	0
BSGatlas-gene-1195	yhaO	CDS	1064846	1066072	+	36	0	36	0
BSGatlas-gene-1196	sbcE	CDS	1066077	1068968	+	0	73	0	73
BSGatlas-gene-1197	yhaM	CDS	1069042	1069986	+	73	54	73	54
BSGatlas-gene-1198	yhaL	CDS	1070111	1070323	+	43	16	43	16
BSGatlas-gene-1199	prsA	CDS	1070364	1071242	-	158	33	33	158
BSGatlas-gene-1200	sscA	CDS	1071402	1071488	+	24	124	24	124
BSGatlas-gene-1201	sscB	CDS	1071613	1071699	+	124	560	124	560
BSGatlas-gene-1203	yhaJ	CDS	1072042	1072560	-	50	103	103	50
BSGatlas-gene-1204	yhaI	CDS	1072768	1073109	+	389	746	389	746
BSGatlas-gene-1205	scoC	CDS	1073106	1073717	-	49	123	123	49
BSGatlas-gene-1206	yhaH	CDS	1073895	1074251	-	98	19	19	98
BSGatlas-gene-1207	yhzF	CDS	1074381	1074572	+	645	1470	645	1470
BSGatlas-gene-1208	trpP	CDS	1074646	1075164	-	124	51	51	124
BSGatlas-gene-1209	serC	CDS	1075289	1076368	-	51	124	124	51
BSGatlas-gene-1210	hinT	CDS	1076515	1076952	-	48	0	0	48
BSGatlas-gene-1212	ecsA	CDS	1077440	1078183	+	31	0	31	0
BSGatlas-gene-1213	ecsB	CDS	1078176	1079402	+	0	19	0	19
BSGatlas-gene-1214	ecsC	CDS	1079422	1080132	+	19	0	19	0
BSGatlas-gene-1215	sndC	CDS	1080150	1081340	-	72	0	0	72
BSGatlas-gene-1216	yhfA	CDS	1081413	1082804	-	17	72	72	17
BSGatlas-gene-1218	hmoB	CDS	1083229	1083729	-	170	36	36	170
BSGatlas-gene-1219	pbpF	CDS	1083851	1085995	+	69	29	69	29
BSGatlas-gene-1220	hemE	CDS	1086117	1087178	+	56	71	56	71
BSGatlas-gene-1221	hemH	CDS	1087250	1088182	+	71	41	71	41
BSGatlas-gene-1222	hemY	CDS	1088197	1089609	+	0	38	0	38
BSGatlas-gene-1223	yhgD	CDS	1089755	1090330	+	60	70	60	70
BSGatlas-gene-1224	yhgE	CDS	1090401	1092728	+	310	0	310	0
BSGatlas-gene-1225	fabHB	CDS	1092770	1093747	-	33	50	50	33
BSGatlas-gene-1226	yhfC	CDS	1093874	1094650	+	43	0	43	0
BSGatlas-gene-1228	yhfE	CDS	1095063	1096103	+	40	0	40	0
BSGatlas-gene-1230	gltT	CDS	1096560	1097849	-	102	0	0	102
BSGatlas-gene-1231	yhfH	CDS	1098120	1098260	-	39	0	0	39
BSGatlas-gene-1232	yhfI	CDS	1098412	1099146	+	48	0	48	0
BSGatlas-gene-1233	lplJ	CDS	1099159	1100154	+	0	64	0	64
BSGatlas-gene-1234	yhfK	CDS	1100219	1100863	+	64	0	64	0
BSGatlas-gene-1235	lcfB	CDS	1100980	1102521	+	55	44	55	44
BSGatlas-gene-1236	yhfM	CDS	1102560	1102955	-	591	45	45	591
BSGatlas-gene-1237	yhfN	CDS	1103104	1104384	+	54	45	54	45
BSGatlas-gene-1238	aprE	CDS	1104423	1105568	-	59	51	51	59
BSGatlas-gene-1239	yhfO	CDS	1106003	1106452	+	32	71	32	71
BSGatlas-gene-1240	yhfP	CDS	1106524	1107516	+	71	216	71	216
BSGatlas-gene-1241	yhfQ	CDS	1107733	1108704	+	216	41	216	41
BSGatlas-gene-1242	phoE	CDS	1108736	1109317	-	70	0	0	70
BSGatlas-gene-1243	yhfS	CDS	1109388	1110482	-	0	70	70	0
BSGatlas-gene-1244	yhfT	CDS	1110479	1111918	-	32	0	0	32
BSGatlas-gene-1245	bioY	CDS	1111925	1112485	-	40	0	0	40
BSGatlas-gene-1246	hemAT	CDS	1112620	1113918	-	58	46	46	58
BSGatlas-gene-1247	yhfW	CDS	1114057	1115586	-	25	36	36	25
BSGatlas-gene-1248	yhxC	CDS	1115698	1116555	+	40	43	40	43
BSGatlas-gene-1249	yhzC	CDS	1116583	1116816	-	40	37	37	40
BSGatlas-gene-125	ctsR	CDS	101449	101913	+	159	0	159	0
BSGatlas-gene-1250	comK	CDS	1117109	1117687	+	274	52	274	52
BSGatlas-gene-1251	yhxD	CDS	1117734	1118633	-	45	51	51	45
BSGatlas-gene-1253	yhjA	CDS	1118850	1119119	+	59	0	59	0
BSGatlas-gene-1254	yhjB	CDS	1119162	1120631	-	0	48	48	0
BSGatlas-gene-1255	yhjC	CDS	1120628	1120828	-	120	0	0	120
BSGatlas-gene-1256	yhjD	CDS	1121036	1121398	-	49	24	24	49
BSGatlas-gene-1257	yhjE	CDS	1121550	1122173	+	293	0	293	0
BSGatlas-gene-1258	sipV	CDS	1122175	1122681	+	0	40	0	40
BSGatlas-gene-1259	yhjG	CDS	1122862	1124361	+	101	76	101	76
BSGatlas-gene-1260	yhjH	CDS	1124438	1124965	+	76	0	76	0
BSGatlas-gene-1261	glcP	CDS	1125123	1126328	-	71	169	169	71
BSGatlas-gene-1263	ntdC	CDS	1126400	1127452	-	0	71	71	0
BSGatlas-gene-1265	ntdA	CDS	1128286	1129611	-	43	0	0	43
BSGatlas-gene-1266	ntdR	CDS	1129715	1130704	+	1234	412	1234	412
BSGatlas-gene-1267	yhjN	CDS	1130918	1132072	-	72	139	139	72
BSGatlas-gene-1269	yhjP	CDS	1133498	1135225	+	89	0	89	0
BSGatlas-gene-1270	yhjQ	CDS	1135255	1135581	-	117	0	0	117
BSGatlas-gene-1271	yhjR	CDS	1135699	1136136	-	36	117	117	36
BSGatlas-gene-1272	addB	CDS	1136320	1139820	+	29	0	29	0
BSGatlas-gene-1273	addA	CDS	1139807	1143505	+	0	71	0	71
BSGatlas-gene-1274	sbcD	CDS	1143577	1144752	+	71	0	71	0
BSGatlas-gene-1276	hlpB	CDS	1148155	1148457	+	732	50	732	50
BSGatlas-gene-1277	gerPF	CDS	1148494	1148712	-	31	1035	1035	31
BSGatlas-gene-1278	gerPE	CDS	1148744	1149145	-	0	31	31	0
BSGatlas-gene-128	clpC	CDS	103572	106004	+	0	91	0	91
BSGatlas-gene-1280	gerPC	CDS	1149318	1149935	-	22	0	0	22
BSGatlas-gene-1281	gerPB	CDS	1149958	1150191	-	0	22	22	0
BSGatlas-gene-1282	gerPA	CDS	1150206	1150427	-	88	0	0	88
BSGatlas-gene-1284	pchI	CDS	1150850	1151020	-	145	183	183	145
BSGatlas-gene-1285	yisJ	CDS	1151166	1152089	-	34	145	145	34
BSGatlas-gene-1286	mblK	CDS	1152244	1153149	+	47	115	47	115
BSGatlas-gene-1287	yisL	CDS	1153265	1153621	+	115	0	115	0
BSGatlas-gene-1288	wprA	CDS	1153789	1156473	+	48	42	48	42
BSGatlas-gene-1289	yisN	CDS	1156504	1157091	-	35	0	0	35
BSGatlas-gene-129	radA	CDS	106096	107472	+	91	0	91	0
BSGatlas-gene-1290	asnO	CDS	1157237	1159081	+	56	104	56	104
BSGatlas-gene-1291	yizA	CDS	1159211	1159690	-	21	0	0	21
BSGatlas-gene-1292	farP	CDS	1159922	1160746	+	24	0	24	0
BSGatlas-gene-1294	yisR	CDS	1162267	1163130	+	60	17	60	17
BSGatlas-gene-1295	iolQ	CDS	1163148	1164161	+	17	0	17	0
BSGatlas-gene-1296	iolX	CDS	1164370	1165398	+	117	45	117	45
BSGatlas-gene-1297	yisT	CDS	1165449	1165958	-	30	0	0	30
BSGatlas-gene-1299	yisV	CDS	1166737	1168191	+	20	0	20	0
BSGatlas-gene-130	disA	CDS	107476	108558	+	0	57	0	57
BSGatlas-gene-1300	yisX	CDS	1168199	1168837	-	136	141	141	136
BSGatlas-gene-1301	yisY	CDS	1169043	1169849	+	136	39	136	39
BSGatlas-gene-1302	yisZ	CDS	1169877	1170476	-	0	36	36	0
BSGatlas-gene-1303	yitA	CDS	1170473	1171642	-	112	0	0	112
BSGatlas-gene-1304	yitB	CDS	1171755	1172465	-	48	112	112	48
BSGatlas-gene-1305	slpH	CDS	1172650	1173336	+	31	0	31	0
BSGatlas-gene-1306	slpS	CDS	1173333	1174091	+	0	60	0	60
BSGatlas-gene-1307	yitE	CDS	1174136	1174765	-	52	462	462	52
BSGatlas-gene-1308	yitF	CDS	1174861	1175976	-	0	25	25	0
BSGatlas-gene-1309	yitG	CDS	1175985	1177253	-	21	0	0	21
BSGatlas-gene-131	yacL	CDS	108674	109774	+	77	0	77	0
BSGatlas-gene-1311	yitI	CDS	1178218	1178667	-	36	0	0	36
BSGatlas-gene-1312	samT	CDS	1178757	1180595	-	274	0	0	274
BSGatlas-gene-1314	yitK	CDS	1180909	1181400	-	43	0	0	43
BSGatlas-gene-1315	yitL	CDS	1181499	1182395	+	63	0	63	0
BSGatlas-gene-1316	yitM	CDS	1182448	1183032	-	85	0	0	85
BSGatlas-gene-1318	yitP	CDS	1183943	1184479	-	51	0	0	51
BSGatlas-gene-1320	yitQ	CDS	1185001	1185588	+	0	19	0	19
BSGatlas-gene-1321	yitR	CDS	1185608	1185901	+	19	47	19	47
BSGatlas-gene-1323	fakBB	CDS	1187700	1188551	-	65	0	0	65
BSGatlas-gene-1324	yitT	CDS	1188689	1189531	+	563	114	563	114
BSGatlas-gene-1325	ipi	CDS	1189646	1190005	+	444	41	444	41
BSGatlas-gene-1326	yizC	CDS	1190036	1190233	-	256	0	0	256
BSGatlas-gene-1327	ribZC	CDS	1190490	1191302	-	59	256	256	59
BSGatlas-gene-1328	yitV	CDS	1191423	1192190	+	43	63	43	63
BSGatlas-gene-1329	yitW	CDS	1192254	1192562	+	63	0	63	0
BSGatlas-gene-1332	argC	CDS	1195034	1196071	+	64	19	64	19
BSGatlas-gene-1333	argJ	CDS	1196091	1197311	+	19	0	19	0
BSGatlas-gene-1335	argD	CDS	1198099	1199256	+	0	70	0	70
BSGatlas-gene-1336	carA	CDS	1199327	1200388	+	70	0	70	0
BSGatlas-gene-1338	argF	CDS	1203461	1204420	+	0	30	0	30
BSGatlas-gene-1339	yjzC	CDS	1204506	1204685	+	17	50	17	50
BSGatlas-gene-134	gltX	CDS	111047	112498	+	45	0	45	0
BSGatlas-gene-1340	yjzD	CDS	1204731	1204916	-	47	298	298	47
BSGatlas-gene-1341	yjaU	CDS	1205165	1205899	+	126	81	126	81
BSGatlas-gene-1343	yjaV	CDS	1205981	1206538	+	84	90	84	90
BSGatlas-gene-1344	med	CDS	1206629	1207582	+	92	0	92	0
BSGatlas-gene-1345	comZ	CDS	1207597	1207788	+	319	42	319	42
BSGatlas-gene-1346	yjzB	CDS	1207818	1208057	-	1349	0	0	1349
BSGatlas-gene-1347	fabHA	CDS	1208222	1209160	+	69	22	69	22
BSGatlas-gene-1348	fabF	CDS	1209183	1210424	+	22	51	22	51
BSGatlas-gene-1349	yjaZ	CDS	1210500	1211285	+	28	0	28	0
BSGatlas-gene-1350	appD	CDS	1211477	1212463	+	106	0	106	0
BSGatlas-gene-1351	appF	CDS	1212460	1213449	+	0	87	0	87
BSGatlas-gene-1352	appAn	putative-coding	1213537	1214001	+	87	0	87	0
BSGatlas-gene-1353	appAc	putative-coding	1214001	1215167	+	0	75	0	75
BSGatlas-gene-1354	appB	CDS	1215243	1216193	+	75	16	75	16
BSGatlas-gene-1355	appC	CDS	1216210	1217121	+	16	102	16	102
BSGatlas-gene-1356	yjbA	CDS	1217326	1218078	+	38	0	38	0
BSGatlas-gene-1357	trpS	CDS	1218113	1219105	-	306	44	44	306
BSGatlas-gene-136	cysE	CDS	112800	113453	+	68	0	68	0
BSGatlas-gene-1361	oppB	CDS	1221594	1222529	+	107	0	107	0
BSGatlas-gene-1364	oppF	CDS	1224533	1225450	+	0	50	0	50
BSGatlas-gene-1365	yjbB	CDS	1225557	1226774	+	42	0	42	0
BSGatlas-gene-1366	yjbC	CDS	1226938	1227516	+	109	180	109	180
BSGatlas-gene-1367	spxA	CDS	1227697	1228092	+	180	56	180	56
BSGatlas-gene-1368	yjbE	CDS	1228135	1228791	-	46	37	37	46
BSGatlas-gene-1370	mecA	CDS	1229068	1229724	+	54	42	54	42
BSGatlas-gene-1372	coiA	CDS	1229915	1231036	+	66	93	66	93
BSGatlas-gene-1373	pepF	CDS	1231083	1233095	+	376	0	376	0
BSGatlas-gene-1374	yizD	CDS	1233133	1233300	-	37	0	0	37
BSGatlas-gene-1378	yjbI	CDS	1234510	1234908	-	181	0	0	181
BSGatlas-gene-1379	cwlQ	CDS	1235163	1235708	-	359	39	39	359
BSGatlas-gene-1380	yjbK	CDS	1235912	1236484	-	47	203	203	47
BSGatlas-gene-1381	yjbL	CDS	1236609	1236977	+	48	28	48	28
BSGatlas-gene-1382	relP	CDS	1237006	1237641	+	28	18	28	18
BSGatlas-gene-1383	ppnKA	CDS	1237660	1238460	+	18	62	18	62
BSGatlas-gene-1384	yjbO	CDS	1238523	1239374	+	62	0	62	0
BSGatlas-gene-1385	prpE	CDS	1239387	1240121	-	587	0	0	587
BSGatlas-gene-1386	kefQ	CDS	1240356	1242200	+	79	0	79	0
BSGatlas-gene-1388	tenA	CDS	1242449	1243159	+	221	0	221	0
BSGatlas-gene-1393	thiF	CDS	1245808	1246818	+	0	18	0	18
BSGatlas-gene-1394	thiD	CDS	1246837	1247652	+	18	39	18	39
BSGatlas-gene-1395	fabI	CDS	1247788	1248564	+	61	53	61	53
BSGatlas-gene-1396	cotO	CDS	1248665	1249348	+	18	1360	18	1360
BSGatlas-gene-1397	cotZ	CDS	1249442	1249888	-	127	95	95	127
BSGatlas-gene-1398	cotY	CDS	1250016	1250504	-	104	127	127	104
BSGatlas-gene-1399	cotX	CDS	1250656	1251174	-	98	46	46	98
BSGatlas-gene-1400	cotW	CDS	1251273	1251590	-	40	98	98	40
BSGatlas-gene-1401	cotV	CDS	1251631	1252017	-	25	40	40	25
BSGatlas-gene-1402	yjcA	CDS	1252177	1252533	+	1955	0	1955	0
BSGatlas-gene-1406	yjcB	CDS	1252858	1253073	+	0	29	0	29
BSGatlas-gene-1407	yjcZ	CDS	1253103	1253252	+	29	132	29	132
BSGatlas-gene-1408	spoVIF	CDS	1253385	1253639	+	132	1164	132	1164
BSGatlas-gene-1409	yjcD	CDS	1253713	1255992	-	49	93	93	49
BSGatlas-gene-141	sigH	CDS	116600	117256	+	26	92	26	92
BSGatlas-gene-1410	yjzE	CDS	1256109	1256363	+	167	0	167	0
BSGatlas-gene-1411	yjcF	CDS	1256436	1256858	-	0	30	30	0
BSGatlas-gene-1412	yjcG	CDS	1256862	1257377	-	36	0	0	36
BSGatlas-gene-1413	yjcH	CDS	1257414	1258136	-	61	36	36	61
BSGatlas-gene-1415	metI	CDS	1258492	1259613	+	211	0	211	0
BSGatlas-gene-1416	metC	CDS	1259606	1260778	+	0	1591	0	1591
BSGatlas-gene-1417	yjcK	CDS	1260811	1261356	-	69	0	0	69
BSGatlas-gene-1418	yjcL	CDS	1261426	1262616	-	202	69	69	202
BSGatlas-gene-142	rpmGB	CDS	117349	117498	+	92	33	92	33
BSGatlas-gene-1420	yjcM	CDS	1263702	1264931	-	91	820	820	91
BSGatlas-gene-1421	yjcN	CDS	1265057	1265377	+	51	106	51	106
BSGatlas-gene-1425	yjcP	CDS	1266614	1267117	+	266	0	266	0
BSGatlas-gene-1426	yjcQ	CDS	1267129	1267413	+	0	37	0	37
BSGatlas-gene-1429	yjdA	CDS	1268829	1269584	+	236	68	236	68
BSGatlas-gene-143	secE	CDS	117532	117711	+	33	0	33	0
BSGatlas-gene-1430	yjdB	CDS	1269733	1270080	-	504	92	92	504
BSGatlas-gene-1431	manR	CDS	1270631	1272577	+	77	0	77	0
BSGatlas-gene-1432	manP	CDS	1272725	1274677	+	43	0	43	0
BSGatlas-gene-1433	manA	CDS	1274692	1275639	+	0	115	0	115
BSGatlas-gene-1435	yjdF	CDS	1275809	1276291	+	70	0	70	0
BSGatlas-gene-1436	yjdG	CDS	1276337	1276843	-	32	0	0	32
BSGatlas-gene-1437	yjdH	CDS	1277062	1277457	-	37	82	82	37
BSGatlas-gene-1438	trnE	CDS	1277686	1278165	+	54	22	54	22
BSGatlas-gene-1439	yjzH	CDS	1278205	1278399	-	31	0	0	31
BSGatlas-gene-1440	yjdJ	CDS	1278565	1278894	-	51	0	0	51
BSGatlas-gene-1443	cotT	CDS	1280626	1280949	-	64	53	53	64
BSGatlas-gene-1444	cotT	CDS	1280626	1280874	-	30	53	53	30
BSGatlas-gene-1445	pdaC	CDS	1281128	1282531	+	237	0	237	0
BSGatlas-gene-1446	yjfA	CDS	1282571	1283044	-	41	46	46	41
